d/t, 0.2m, 0.2025m, 0.205m, 0.2075m, 0.21m, 0.2125m, 0.215m, 0.2175m, 0.22m, 0.2225m, 0.225m, 0.2275m, 0.23m, 0.2325m, 0.235m, 0.2375m, 0.24m, 0.2425m, 0.245m, 0.2475m, 0.25m, 0.2525m, 0.255m, 0.2575m, 0.26m, 0.2625m, 0.265m, 0.2675m, 0.27m, 0.2725m, 0.275m, 0.2775m, 0.28m, 0.2825m, 0.285m, 0.2875m, 0.29m, 0.2925m, 0.295m, 0.2975m, 0.3m, 0.3025m, 0.305m, 0.3075m, 0.31m, 0.3125m, 0.315m, 0.3175m, 0.32m, 0.3225m, 0.325m, 0.3275m, 0.33m, 0.3325m, 0.335m, 0.3375m, 0.34m, 0.3425m, 0.345m, 0.3475m, 0.35m, 0.3525m, 0.355m, 0.3575m, 0.36m, 0.3625m, 0.365m, 0.3675m, 0.37m, 0.3725m, 0.375m, 0.3775m, 0.38m, 0.3825m, 0.385m, 0.3875m, 0.39m, 0.3925m, 0.395m, 0.3975m, 0.4m, 0.4025m, 0.405m, 0.4075m, 0.41m, 0.4125m, 0.415m, 0.4175m, 0.42m, 0.4225m, 0.425m, 0.4275m, 0.43m, 0.4325m, 0.435m, 0.4375m, 0.44m, 0.4425m, 0.445m, 0.4475m, 0.45m, 0.4525m, 0.455m, 0.4575m, 0.46m, 0.4625m, 0.465m, 0.4675m, 0.47m, 0.4725m, 0.475m, 0.4775m, 0.48m, 0.4825m, 0.485m, 0.4875m, 0.49m, 0.4925m, 0.495m, 0.4975m, 0.5m, 0.5025m, 0.505m, 0.5075m, 0.51m, 0.5125m, 0.515m, 0.5175m, 0.52m, 0.5225m, 0.525m, 0.5275m, 0.53m, 0.5325m, 0.535m, 0.5375m, 0.54m, 0.5425m, 0.545m, 0.5475m, 0.55m, 0.5525m, 0.555m, 0.5575m, 0.56m, 0.5625m, 0.565m, 0.5675m, 0.57m, 0.5725m, 0.575m, 0.5775m, 0.58m, 0.5825m, 0.585m, 0.5875m, 0.59m, 0.5925m, 0.595m, 0.5975m, 0.6m, 0.6025m, 0.605m, 0.6075m, 0.61m, 0.6125m, 0.615m, 0.6175m, 0.62m, 0.6225m, 0.625m, 0.6275m, 0.63m, 0.6325m, 0.635m, 0.6375m, 0.64m, 0.6425m, 0.645m, 0.6475m
37, 356.8767, 344.5693, 340.3763, 254.9078, 206.2062, 177.1017, 176.7824, 172.1656, 182.5212, 158.6474, 218.4422, 186.0967, 204.4627, 203.3642, 75.1665, 111.6065, 164.1767, 76.0592, 172.5254, 178.8854, 186.5905, 85.5862, 163.7834, 123.5476, 58.2151, 169.0976, 106.2544, 111.7587, 140.9433, 100.4191, 97.1288, 153.9123, 215.1116, 132.1855, 162.5423, 99.2018, 112.0402, 97.3499, 148.0068, 84.3445, 90.6035, 137.5282, 88.278, 41.3038, 73.0, 148.0338, 97.0979, 54.7814, 74.6324, 50.2494, 98.0, 103.3102, 180.6765, 201.5341, 195.041, 124.3101, 246.4346, 225.7299, 48.6004, 143.2829, 126.0357, 37.4433, 92.3093, 74.8465, 175.3169, 129.2942, 144.8068, 129.769, 39.2938, 144.2221, 118.6634, 140.1285, 158.3193, 144.5856, 120.5031, 107.4477, 219.3171, 213.3565, 150.6552, 104.7378, 53.7401, 153.2351, 126.5306, 67.6018, 178.362, 84.1724, 161.2514, 62.8013, 146.2635, 172.1308, 28.178, 98.0051, 29.2062, 59.203, 120.4326, 94.2444, 68.4251, 114.5426, 8.0623, 52.0865, 40.8044, 57.9828, 38.4708, 67.082, 64.4748, 49.0408, 74.9667, 100.5684, 115.0391, 149.0, 93.1719, 44.0114, 26.0, 160.0781, 72.6154, 81.3019, 111.8034, 101.8283, 85.8429, 119.4027, 108.1896, 141.2268, 128.316, 50.0899, 101.548, 16.7631, 103.6002, 167.2005, 181.648, 127.3185, 90.0, 84.3149, 121.8524, 117.686, 198.2524, 147.0918, 225.5682, 181.069, 118.7139, 194.7434, 149.9133, 112.1472, 95.2575, 97.949, 103.465, 165.0818, 112.2185, 145.9109, 205.0098, 65.7951, 94.1541, 149.9066, 147.1394, 91.6079, 70.214, 76.922, 36.4005, 157.0287, 96.1301, 98.8433, 44.6878, 104.1393, 113.9912, 104.9238, 145.6022, 161.966, 102.6499, 107.4244, 153.5871, 25.9615, 101.1781, 152.5418, 81.2158, 147.0544, 48.5077, 77.8781, 103.7545, 39.8121, 118.1524, 134.7368
38, 415.153, 342.2309, 307.5093, 246.3433, 230.0543, 169.4255, 233.8226, 219.2464, 128.8604, 231.8211, 183.8967, 177.1243, 124.2337, 97.17, 171.4934, 107.0187, 74.2159, 142.6359, 170.6986, 123.9395, 100.7671, 182.5623, 106.8316, 207.1714, 141.4284, 156.8216, 134.0821, 127.5343, 143.5618, 162.8558, 146.8196, 224.5017, 98.1122, 84.0238, 166.012, 94.6678, 103.7882, 143.6802, 154.0195, 186.9037, 104.69, 128.0, 159.706, 158.4834, 92.0054, 50.4876, 95.3362, 110.3177, 120.1041, 121.0165, 106.0047, 130.2997, 203.6909, 155.0387, 152.8398, 118.9832, 180.6128, 107.912, 137.0, 101.8234, 111.8258, 151.8223, 132.0189, 165.4237, 61.327, 42.0119, 191.4419, 204.3942, 234.6444, 118.5116, 131.746, 136.3121, 158.2561, 42.72, 53.1507, 43.4166, 128.1327, 115.7627, 137.6118, 157.8417, 155.0806, 129.6302, 143.1258, 209.695, 65.7419, 129.2826, 111.1396, 106.3015, 205.9733, 142.3938, 105.5509, 105.8017, 134.6588, 168.2379, 155.467, 224.8777, 66.6108, 105.3233, 62.1691, 36.0555, 86.209, 160.7047, 76.922, 79.6304, 142.706, 158.0285, 76.6942, 56.3028, 168.8135, 137.9058, 146.7106, 132.2309, 139.5421, 70.1142, 97.5141, 64.846, 152.9771, 80.3243, 124.6194, 158.5339, 25.9422, 78.339, 48.2597, 168.8609, 70.7743, 47.0106, 90.5539, 112.1606, 143.2794, 140.2177, 163.6826, 80.7775, 156.285, 107.3778, 155.5892, 74.5185, 127.0276, 170.6605, 114.4814, 157.4706, 95.6033, 86.2844, 108.3421, 76.4003, 132.6084, 106.6771, 119.8082, 108.9082, 41.5933, 132.484, 94.1116, 78.6448, 87.0057, 105.3803, 167.6305, 111.018, 78.8923, 58.1893, 75.5844, 158.0, 118.072, 75.8024, 65.123, 117.0342, 143.0874, 65.6049, 80.025, 103.097, 64.622, 64.846, 137.3208, 52.2398, 111.3059, 127.8828, 92.0054, 49.0408, 52.6972, 61.7738, 47.8853, 70.0
39, 354.752, 415.4624, 328.8769, 264.1231, 249.008, 271.5916, 60.0833, 125.7816, 74.7329, 123.8225, 115.3776, 126.1467, 160.4151, 189.8973, 131.3202, 112.4144, 144.0625, 200.4495, 112.2943, 157.496, 114.3897, 49.0408, 107.1681, 130.545, 85.9826, 130.9198, 126.3843, 137.7861, 38.9487, 156.2082, 137.2443, 83.7437, 212.5512, 125.8968, 65.3682, 112.0402, 185.9516, 215.258, 81.5414, 116.5032, 203.7474, 245.6522, 160.7514, 136.18, 85.1587, 115.7411, 186.3035, 256.1425, 128.0976, 120.6151, 154.0292, 141.598, 111.072, 113.4416, 118.3427, 142.5798, 108.2266, 136.5613, 191.6377, 108.1665, 152.1907, 123.4058, 94.1488, 126.0159, 105.2236, 83.0, 84.0119, 131.1373, 161.524, 128.9496, 87.3212, 34.7851, 112.7209, 86.5852, 140.0893, 49.163, 137.7679, 136.5284, 104.7091, 104.6948, 98.7168, 140.4279, 120.2414, 147.4619, 111.8302, 138.9172, 76.5506, 130.0346, 128.8759, 62.9365, 175.8238, 75.452, 109.6038, 128.9961, 78.0, 60.4152, 92.6553, 101.671, 89.1964, 130.6484, 76.7919, 143.405, 64.2028, 38.6005, 163.2483, 87.2009, 117.72, 110.0727, 43.1856, 113.6002, 208.7223, 128.3199, 62.0081, 91.236, 54.2033, 128.5496, 72.0069, 56.0892, 43.0116, 49.5177, 171.3038, 102.9612, 60.9262, 119.6328, 79.1202, 99.7246, 83.9524, 157.6991, 118.0042, 137.4118, 157.3181, 51.0, 79.2023, 101.6366, 173.104, 44.2832, 105.3043, 71.2531, 112.4455, 163.4534, 84.1487, 64.7765, 18.6011, 136.7808, 101.2719, 192.5019, 53.3385, 87.0919, 146.3216, 65.1153, 56.2228, 80.9568, 63.7809, 88.6454, 75.2396, 21.0238, 61.3514, 54.4059, 143.5862, 112.0045, 69.3542, 137.9928, 63.3246, 48.3839, 171.3301, 88.4138, 103.407, 156.5184, 41.2311, 92.4554, 11.0454, 42.0, 100.1848, 58.2495, 104.4031, 74.7262, 53.7122, 79.511, 27.1662, 63.5689
40, 422.6512, 352.7676, 322.9675, 269.7647, 229.4014, 228.8056, 94.921, 215.6015, 160.5273, 142.2252, 158.0285, 102.8834, 166.003, 90.7359, 84.0536, 32.3883, 108.2589, 83.0, 132.9812, 151.4629, 184.3611, 173.1416, 271.2803, 142.6114, 157.6959, 127.2871, 156.0128, 140.0, 178.4741, 79.0759, 145.3616, 104.69, 124.1491, 136.8941, 120.6151, 135.595, 246.4346, 99.925, 91.2195, 175.6018, 152.3975, 122.9187, 144.2775, 122.6418, 109.2749, 99.1413, 51.0882, 115.7454, 60.803, 87.0, 121.4578, 209.7737, 164.0, 10.4403, 176.6635, 146.3728, 71.5891, 67.082, 58.1808, 138.7516, 121.6553, 163.4411, 143.1782, 64.8999, 87.8009, 110.6526, 160.0125, 169.0946, 84.1487, 149.2146, 160.0781, 199.1231, 275.0364, 137.1313, 102.2155, 56.3205, 170.2939, 104.3504, 222.0315, 127.1417, 185.914, 136.7041, 61.4003, 130.7823, 215.1139, 57.8705, 124.3382, 202.4846, 37.6431, 126.9055, 123.0447, 162.4962, 138.9172, 95.7549, 78.7718, 86.209, 170.5315, 33.2415, 192.1302, 90.5207, 131.1373, 162.2652, 85.8662, 101.7104, 49.0306, 157.0509, 50.3587, 96.6075, 90.934, 85.4459, 118.2244, 186.9385, 101.8332, 55.9464, 43.8634, 23.4094, 29.0172, 171.0205, 78.1025, 65.7419, 211.2274, 156.237, 33.2866, 35.3553, 95.7079, 91.526, 62.7694, 62.0081, 127.1417, 46.2277, 89.0056, 52.1536, 63.5059, 67.4759, 31.7648, 101.8676, 61.7171, 81.0555, 60.1664, 159.778, 118.9622, 102.7862, 143.6001, 130.0038, 31.3847, 141.8767, 61.8547, 54.7083, 116.4002, 113.2166, 55.0727, 155.8012, 96.3172, 51.923, 20.8806, 52.9245, 106.9018, 80.4487, 110.1136, 67.0075, 7.8102, 68.9493, 116.3873, 112.6144, 167.5858, 110.8558, 45.2769, 96.1041, 75.0, 54.7449, 26.1725, 82.1523, 57.0, 30.6757, 50.6063, 93.2309, 38.0789, 95.8019, 39.2046, 46.8402
41, 403.3906, 311.1222, 350.2014, 275.4088, 239.6769, 229.8369, 148.9329, 105.7733, 202.2375, 71.4003, 188.1303, 135.2368, 136.6053, 81.8841, 75.06, 98.3107, 135.3514, 229.1201, 23.7697, 78.2304, 131.9735, 39.2046, 162.3484, 79.7621, 68.1175, 201.6953, 203.8553, 207.0024, 146.2942, 83.6481, 80.4984, 103.4698, 138.398, 108.4066, 192.4188, 97.7446, 122.5887, 99.4032, 144.8378, 86.8159, 186.8181, 130.8625, 198.4364, 85.235, 221.5626, 126.8464, 115.0695, 76.0066, 141.2303, 202.7437, 169.1686, 134.9518, 161.8209, 202.2004, 168.2676, 125.1599, 111.7587, 192.0026, 80.1561, 137.0584, 130.6484, 154.0292, 149.2146, 180.2054, 112.641, 128.6002, 231.7585, 88.7694, 118.0678, 176.9124, 54.7083, 110.4219, 101.3903, 120.8387, 71.0, 17.0, 136.9452, 130.173, 161.0124, 171.2338, 177.2343, 116.0689, 133.7647, 103.9663, 215.5737, 86.4696, 108.0463, 140.6165, 143.8506, 120.3038, 165.2392, 200.4121, 174.4162, 77.2334, 66.8506, 110.982, 106.8878, 136.0588, 70.859, 151.2415, 106.9439, 194.0644, 40.8167, 90.2552, 123.0447, 155.6535, 96.421, 124.6515, 21.095, 143.9618, 83.0963, 114.0395, 93.0484, 99.0858, 38.4708, 72.5672, 22.0, 48.6621, 41.8688, 34.7131, 37.8021, 98.8433, 27.2947, 52.1536, 99.7647, 156.3202, 107.3546, 67.0075, 53.1507, 53.2353, 90.1388, 112.9469, 72.1734, 69.4262, 125.3994, 85.3756, 105.3233, 194.6484, 90.0777, 116.7262, 37.855, 74.9533, 147.1224, 69.6563, 169.1686, 161.301, 31.0483, 66.2193, 79.925, 145.4166, 150.9603, 44.0454, 65.3682, 51.6624, 91.5478, 115.1086, 131.0611, 129.5569, 32.2025, 118.7013, 152.0033, 66.4831, 41.0122, 81.8352, 121.7539, 129.0271, 121.7539, 113.6354, 68.3593, 75.4255, 125.2996, 131.0153, 53.1507, 32.249, 29.4109, 109.2749, 54.5711, 54.7449, 13.3417, 51.9711
42, 408.2218, 419.7344, 321.9224, 346.1459, 196.6367, 166.4001, 168.2201, 191.8463, 226.2145, 199.3239, 121.0165, 84.8646, 178.8687, 171.5109, 97.3088, 110.7249, 165.9548, 98.4073, 104.0625, 148.9765, 166.012, 135.6503, 109.6586, 148.1114, 271.448, 131.3088, 94.1913, 112.2943, 193.0104, 69.4262, 57.28, 104.6566, 116.0388, 154.8709, 198.0126, 212.0094, 20.6155, 200.8482, 134.7182, 99.2975, 133.154, 70.6612, 101.8676, 80.0625, 121.8236, 100.3195, 84.22, 191.8463, 177.7301, 167.1407, 161.0, 52.0096, 182.0027, 163.3707, 164.1036, 123.3086, 144.5545, 34.0, 96.566, 111.3059, 89.8888, 132.2762, 121.4949, 255.5621, 93.086, 175.7555, 168.8579, 162.8895, 117.4564, 210.2617, 95.1893, 94.9368, 125.036, 39.2173, 152.0855, 116.1077, 54.5894, 91.0055, 107.0187, 144.4022, 210.6419, 175.6929, 59.4054, 115.5206, 140.4635, 90.7359, 186.172, 114.2366, 146.2395, 138.0036, 178.6757, 128.0352, 115.7411, 65.9242, 154.0519, 46.3249, 125.3236, 36.0694, 30.4631, 43.4166, 101.8725, 69.6563, 100.2098, 120.1041, 40.3113, 55.5428, 177.7245, 133.3042, 114.0614, 138.0906, 47.3814, 35.8469, 138.2245, 81.7435, 117.0684, 107.1681, 28.4429, 133.015, 146.3728, 67.4759, 135.9154, 83.0963, 63.5689, 217.0207, 50.4876, 100.6231, 93.0054, 25.9615, 239.3533, 88.4816, 95.4149, 106.7755, 78.6448, 110.354, 56.7979, 128.316, 116.8674, 140.3567, 63.1585, 94.2603, 103.0, 107.5174, 22.8254, 91.7824, 75.6108, 151.8552, 154.5089, 46.9574, 130.9427, 30.8707, 83.2947, 82.0731, 33.5261, 147.3126, 110.0591, 113.3578, 74.6324, 49.0, 44.7214, 65.2534, 29.8329, 8.9443, 55.3624, 52.345, 49.6488, 66.0984, 94.0319, 57.9828, 115.9655, 19.2354, 47.1699, 10.0, 34.7851, 112.2007, 48.0833, 61.5224, 68.7968, 80.5233, 37.4833, 45.1885
43, 332.2665, 419.9476, 319.9531, 280.0179, 153.9123, 218.9612, 167.7647, 109.4897, 185.5505, 90.0888, 133.8208, 67.4759, 126.4792, 105.3091, 118.3596, 116.5204, 67.3647, 111.1575, 126.6254, 160.1, 224.4504, 142.436, 72.111, 197.2942, 100.5783, 210.5232, 161.3072, 60.1415, 98.6712, 71.4493, 110.3087, 104.3552, 27.4591, 149.2146, 151.4893, 134.2125, 86.6833, 211.627, 119.105, 133.3754, 92.0272, 156.0, 107.3778, 240.9689, 211.9363, 165.9458, 191.2302, 180.7595, 161.3722, 190.192, 88.3233, 160.125, 128.316, 174.1063, 100.6876, 113.2166, 103.097, 123.3288, 129.244, 72.45, 224.9644, 174.1407, 122.0164, 115.6028, 60.4649, 75.1798, 134.0933, 133.8992, 83.9345, 119.0504, 97.6371, 106.0189, 118.0042, 148.3846, 93.4345, 101.1187, 161.929, 137.3536, 145.4166, 95.1315, 94.255, 82.3893, 93.6483, 166.6043, 131.5295, 137.0584, 188.1701, 133.7348, 102.4597, 101.7104, 77.8781, 72.4707, 131.3202, 166.3641, 156.9841, 74.686, 112.6144, 117.6138, 49.6488, 156.3873, 57.3847, 75.5844, 158.2561, 108.8944, 138.4377, 156.5248, 158.597, 49.8197, 97.0979, 132.5179, 62.9682, 116.1034, 47.676, 85.4751, 19.4165, 121.2353, 43.0813, 41.7732, 113.6002, 51.5461, 87.8635, 52.5547, 33.2415, 69.1158, 131.9735, 19.105, 66.7308, 110.1136, 51.2445, 71.5681, 11.4018, 55.7584, 91.5478, 75.8222, 75.591, 100.7224, 105.9481, 66.6033, 10.2956, 150.9603, 37.108, 80.7775, 10.4403, 97.0206, 149.3352, 41.0488, 55.0091, 86.5852, 99.0202, 26.4008, 7.2111, 87.2067, 66.4831, 75.213, 38.4187, 26.2488, 49.0102, 64.405, 76.0263, 33.8378, 10.6301, 91.7606, 121.0041, 70.1783, 21.095, 44.2719, 64.6297, 75.1532, 60.1082, 60.208, 82.7345, 76.5506, 68.4763, 60.4649, 65.5134, 68.9493, 46.4866, 77.7946, 112.5389, 17.4642
44, 401.0499, 295.5266, 278.9767, 273.2124, 194.3116, 189.6444, 178.0842, 142.6359, 269.4327, 211.9811, 184.1331, 138.2932, 94.3027, 69.3758, 22.3607, 138.5208, 121.7415, 92.6607, 127.4402, 22.0907, 129.3136, 130.6331, 138.398, 136.7187, 169.0946, 15.6205, 136.4991, 128.8875, 145.9932, 107.0794, 27.0185, 182.0137, 143.6837, 178.4881, 63.9766, 155.2611, 168.122, 89.1852, 202.3116, 169.4993, 164.5418, 120.7477, 158.1139, 186.6789, 185.0649, 95.2943, 82.0366, 76.2365, 222.733, 129.3561, 110.0727, 117.7115, 138.4955, 144.9414, 78.2943, 64.0312, 196.1632, 94.1541, 196.9391, 132.382, 121.7539, 112.45, 141.0603, 101.9215, 123.7942, 99.7246, 145.6606, 195.1333, 100.4092, 94.578, 89.2861, 214.2195, 112.0714, 217.0829, 96.3016, 35.6931, 182.4089, 183.2157, 90.2497, 222.0315, 152.5025, 173.2541, 183.4121, 106.48, 122.1884, 118.1271, 120.1499, 108.2266, 114.9826, 64.8845, 112.0446, 96.1769, 97.0, 123.8467, 150.632, 144.9172, 100.2098, 144.6824, 53.1507, 49.4975, 56.5862, 86.1452, 93.9149, 80.7775, 62.9682, 45.3542, 133.0338, 43.9659, 130.2498, 75.8222, 85.8662, 69.3542, 54.1295, 31.3847, 44.7772, 81.3019, 109.4166, 98.8838, 122.1884, 22.6716, 99.0808, 48.6004, 70.7107, 61.0, 118.2582, 30.4138, 58.0086, 38.3275, 66.1287, 108.0185, 59.7746, 29.5296, 28.6531, 41.0488, 99.0808, 34.4819, 63.561, 88.6002, 67.1193, 76.0066, 104.561, 76.0066, 35.4401, 104.2353, 15.1327, 50.2494, 84.9588, 5.0, 86.1452, 72.4431, 150.0133, 126.1507, 31.0644, 91.0, 49.2443, 12.7279, 51.4198, 65.2993, 34.2053, 53.2259, 36.8782, 61.4003, 56.8595, 75.8024, 23.5372, 62.5859, 16.4012, 88.3233, 60.6383, 77.3692, 101.0792, 81.1542, 42.638, 100.6876, 50.0899, 39.5601, 54.7814, 28.2312, 55.6058, 43.1741
45, 332.0542, 350.6822, 391.4716, 329.6604, 332.0994, 184.7647, 177.6542, 98.0816, 129.6534, 194.3116, 82.9699, 98.0816, 134.7368, 152.4336, 151.921, 169.1449, 82.0975, 101.7104, 126.0516, 180.5464, 159.2388, 38.8973, 152.8169, 123.6851, 109.7725, 262.4062, 75.1665, 231.7412, 88.4081, 137.4627, 152.8463, 149.1878, 106.2544, 123.4909, 18.3848, 105.6835, 158.5181, 156.7227, 104.2017, 89.0505, 167.7647, 222.2836, 115.0174, 79.3095, 55.4437, 181.2457, 144.5061, 83.0542, 124.7878, 164.9758, 79.9062, 76.1643, 193.6208, 65.5515, 205.9927, 186.4537, 102.4158, 100.6479, 88.8876, 175.0257, 201.102, 177.3415, 123.0163, 91.022, 130.4301, 98.7168, 169.6231, 87.0057, 128.5496, 98.326, 73.1642, 122.6907, 102.0049, 27.4591, 143.9236, 56.0357, 132.8345, 143.8402, 144.0868, 169.0089, 186.1317, 19.2094, 155.0, 186.8689, 131.2098, 114.0395, 107.7868, 105.9906, 137.5573, 69.3758, 177.2484, 173.5569, 176.672, 88.8876, 99.4082, 80.6226, 134.7182, 171.0263, 40.4599, 120.7684, 167.2991, 166.0903, 114.2366, 95.2575, 124.0846, 44.7214, 129.6534, 43.9318, 30.8869, 98.2293, 115.7325, 54.5619, 92.6553, 91.0934, 15.0, 55.5428, 59.6825, 75.6108, 64.4127, 110.6391, 75.5844, 65.3911, 130.0038, 31.3209, 63.7887, 49.6488, 30.0666, 52.0096, 55.9017, 47.3814, 24.7386, 25.0799, 47.0956, 47.2652, 36.4005, 125.2996, 116.9017, 24.0, 64.195, 27.2029, 34.5398, 48.1664, 14.5602, 71.2811, 95.7079, 38.0132, 76.4788, 33.3017, 36.7967, 110.0227, 90.0944, 25.1794, 98.3107, 45.1885, 46.0977, 49.679, 92.9624, 55.4707, 104.3887, 98.4784, 9.434, 75.9276, 162.6038, 93.9415, 100.8811, 110.6029, 62.514, 45.7056, 83.7735, 153.209, 85.3756, 87.2353, 68.0147, 31.7805, 89.0674, 52.1536, 73.0068, 18.9737, 97.0464, 19.799
46, 368.9173, 343.8793, 315.0873, 213.1502, 214.8883, 113.1724, 208.6265, 146.0856, 108.0046, 172.9306, 64.3506, 136.8941, 180.2692, 94.541, 157.4357, 107.2986, 135.6355, 136.0588, 156.4001, 176.7767, 208.9426, 94.5939, 80.1124, 147.3126, 102.6499, 123.7619, 118.7139, 160.178, 117.3925, 116.9017, 125.9365, 142.0035, 149.2816, 106.6771, 135.5913, 11.1803, 70.1783, 26.9072, 205.8057, 100.6578, 138.0036, 145.6091, 127.4755, 150.3363, 91.5478, 91.0, 59.203, 37.6431, 133.5552, 71.4493, 202.7807, 156.7227, 98.4886, 131.7004, 45.3542, 63.6396, 107.7126, 116.3486, 195.1666, 102.8834, 199.86, 124.0403, 107.5174, 85.0235, 154.6351, 202.7264, 140.5276, 147.5805, 116.1809, 100.6231, 78.0064, 164.4384, 120.4159, 143.2934, 75.1332, 100.4988, 76.6877, 54.5619, 193.352, 124.5953, 177.9916, 152.7383, 70.5762, 84.4334, 121.9262, 89.7385, 140.8013, 65.8027, 73.0068, 164.7604, 98.7623, 131.7004, 95.3362, 56.6127, 185.4427, 104.2017, 131.1831, 85.7263, 85.8662, 171.5488, 58.1808, 64.8999, 124.0645, 129.5569, 129.6534, 121.1033, 149.3754, 37.3631, 103.5857, 29.4109, 25.318, 154.3535, 55.9017, 99.6393, 102.8591, 56.4358, 109.11, 97.6524, 94.8736, 88.8369, 84.0595, 46.6154, 30.6757, 89.1067, 59.0339, 40.0125, 68.2495, 15.5242, 63.8905, 92.6121, 65.4599, 33.6155, 52.0865, 26.0768, 43.0465, 106.7333, 81.6149, 60.8276, 83.1986, 54.6717, 20.6155, 60.0333, 51.1077, 85.3815, 99.985, 13.0, 30.8707, 50.774, 35.6931, 92.5905, 35.0, 99.6393, 63.5138, 11.1803, 111.018, 68.1542, 86.0058, 52.3927, 78.1601, 76.5376, 8.4853, 14.0, 78.6003, 53.6004, 61.2944, 73.1095, 42.45, 103.7111, 12.083, 57.7754, 26.1725, 9.8489, 103.7545, 62.2013, 19.2354, 27.4591, 64.7611, 119.6035, 57.6888, 116.9273
47, 393.117, 346.0231, 274.0839, 319.5653, 275.6701, 192.6266, 135.0296, 66.2873, 139.517, 177.2935, 246.4833, 84.1487, 127.4402, 153.0261, 92.0978, 184.9378, 148.6371, 96.8297, 168.7513, 60.6712, 207.1714, 41.6293, 145.4991, 141.9049, 69.814, 72.4983, 145.4648, 91.2195, 185.6071, 125.1, 135.7645, 13.6015, 143.4503, 43.1045, 112.6987, 120.0333, 160.0156, 123.9113, 180.4799, 117.4138, 111.018, 193.2977, 193.0026, 117.047, 105.9906, 122.0369, 113.031, 111.4002, 122.0901, 175.4822, 177.1807, 71.8471, 96.2133, 109.0367, 151.585, 145.6606, 119.6328, 145.6743, 198.2044, 154.8709, 125.5149, 167.8362, 146.1848, 195.686, 64.3506, 127.4245, 91.4822, 170.5315, 111.0856, 86.6083, 107.28, 170.1764, 143.1782, 122.0, 122.9309, 140.9433, 128.8875, 77.4726, 102.5329, 120.8139, 34.0588, 137.2006, 115.3126, 171.4526, 69.4622, 93.3809, 202.5562, 48.3839, 104.8475, 65.9469, 68.9493, 96.4624, 104.2017, 58.6941, 139.5887, 76.4853, 125.5428, 105.3803, 140.2284, 118.0889, 120.6151, 141.1559, 82.8734, 47.0106, 162.5946, 120.6151, 113.1459, 90.5207, 51.4782, 133.7946, 37.2156, 74.4312, 45.2769, 111.2205, 72.5672, 29.1204, 79.9312, 87.818, 24.8395, 113.4416, 136.4734, 64.195, 81.5659, 51.6236, 21.8403, 16.2788, 69.6348, 32.28, 56.4358, 80.9506, 16.1555, 69.9714, 74.8465, 90.0888, 90.7083, 125.6702, 105.1095, 69.3542, 40.7922, 34.0147, 21.095, 39.8497, 90.7579, 63.561, 70.6045, 78.1601, 67.2681, 65.192, 25.0799, 6.4031, 25.7099, 48.1664, 30.5941, 37.1214, 46.0977, 84.4808, 76.6094, 21.9317, 99.6393, 69.6348, 34.8281, 46.6905, 5.3852, 57.2189, 84.2021, 51.225, 108.3005, 125.1599, 18.1108, 38.6264, 18.1108, 100.8464, 90.0056, 104.9952, 57.2451, 54.6717, 53.7587, 148.0709, 115.5206, 42.4382
48, 336.6616, 357.7988, 304.6326, 248.8092, 238.6629, 185.9946, 158.6852, 153.2645, 79.555, 89.1852, 180.3136, 185.8521, 121.7415, 161.6447, 178.8771, 120.2539, 177.519, 174.7713, 150.6519, 136.8503, 101.6071, 82.4621, 165.5295, 68.4763, 142.3376, 138.8272, 174.4018, 170.3085, 80.6226, 135.3514, 205.7304, 181.648, 174.7713, 173.0116, 92.1358, 142.3025, 87.6641, 143.7359, 105.3803, 98.4124, 121.4002, 102.0686, 132.246, 123.3694, 134.1641, 191.9297, 93.3006, 147.8005, 150.5855, 121.8072, 198.3053, 114.9348, 102.9563, 92.0869, 154.4345, 167.2872, 174.29, 107.9352, 141.3153, 13.0384, 106.9205, 136.3415, 101.6366, 23.4094, 186.6012, 179.4714, 211.1421, 138.7083, 131.0343, 142.3025, 18.6815, 44.7772, 96.566, 54.0093, 147.3533, 110.0045, 80.2808, 68.0294, 107.7822, 127.3185, 117.2391, 171.1637, 92.3147, 137.7135, 178.3732, 165.7468, 126.6491, 94.8314, 148.7179, 75.2861, 78.4092, 163.9817, 110.1136, 53.6004, 92.1358, 100.8464, 138.0326, 58.8218, 139.0575, 115.9526, 139.7033, 48.7545, 134.4061, 110.6526, 30.2655, 114.6909, 56.0803, 118.596, 102.9272, 132.2762, 187.2432, 73.5527, 105.7733, 57.0088, 148.4049, 160.8633, 23.0217, 94.1329, 74.4648, 62.1691, 70.0357, 130.2306, 152.2268, 61.0737, 65.0, 48.0, 79.712, 76.1577, 110.7655, 49.4065, 17.8045, 36.8782, 19.3132, 36.2353, 144.9, 57.2014, 86.3481, 48.0, 66.0984, 74.1687, 118.0, 36.4005, 55.9017, 88.459, 69.8928, 77.6209, 64.3817, 74.5185, 36.1248, 108.4666, 72.0, 166.0482, 42.638, 82.2192, 58.2151, 5.6569, 87.3613, 74.3303, 103.0049, 100.896, 32.7567, 42.19, 71.3092, 11.1803, 88.8876, 10.6301, 64.405, 106.8504, 101.843, 70.2922, 54.0833, 22.1359, 44.2832, 121.3136, 32.6497, 76.922, 38.0526, 135.0926, 85.3815, 59.4811
